Products,Health & Beauty,Electronics,Books,Groceries,Home & Kitchen
Women's Slim Fit Leggings (JAK035_Sky Blue_FREE SIZE),0.2,0.1,0.05,0.6,0.05
CERO Pack of 2 Hubby Wifey Couple Watches Black Chain Analogue Men's & Women's Watch,0.05,0.02,0.02,0.01,0.9
MIRCHI FASHION Women's Fancy Printed Summer Beachwear Coverup Wrap Sarongs,0.3,0.02,0.05,0.03,0.6
EXCLUZO 8L Foldable Inflatable Water Washbasin Portable Wash Bag Camping Basin Green,0.05,0.02,0.02,0.01,0.9
"MICROSMT M15 Smart LED TV (50-SMT-SB/1024/08-KSR-22),50 Inches.",0.01,0.9,0.02,0.02,0.05
Shezone Women's Synthetic Fashion Sandals,0.1,0.05,0.025,0.025,0.8
Wings Star led tv Cover for Samsung 32 inches led tvs (All Models) - Transparent Dustproof Television Cover Protector for ...,0.005,0.95,0.005,0.003,0.04
ComicSense.xyz Anime AOT Attack on Titan All Houses Logo Keychain,0.05,0.7,0.1,0.05,0.1
Simon Carter Men Boxer Shorts,0.15,0.25,0.05,0.45,0.1
Brain Freezer Anti-Slip Shockproof Silicone Protective Case Cover Compatible with Amazon Fire Tv Stick/Voice Remote 5. 9in...,0.01,0.95,0.01,0.01,0.02
"FAST&UP Beta-Alanine Essentials (250gms, 4gms per serving, 62 Servings) | Helps Increase Workout Capacity, Strength & Endu...",0.8,0.03,0.02,0.1,0.05
"Bageshwar Dham and Pandit Dheerendra Shasrti ji Photo POCKET SIZE Wall, lving/Bed Room, Lobby (05 Piece 10cmX7 cm Approx)",0.1,0.02,0.05,0.03,0.8
DRYZTOR Leather Men's Wallet,0.02,0.05,0.01,0.02,0.9
Gujarat Cricket Jersey with Shorts 2022-23,0.02,0.02,0.01,0.85,0.1
RodZen Men's Cotton Regular Fit Color Blocked Sleeveless T-Shirt (Pack of 3),0.1,0.2,0.05,0.3,0.35
P.C. Chandra Jewellers Gold and Diamond Stud Earrings for Women,0.05,0.03,0.02,0.01,0.89
Owl Theme Designer Pocket Watch Vintage Clock Antique Metallic Keyring Key Chain Gandhi Style great key house,0.02,0.05,0.01,0.02,0.9
WORLD WEAR FOOTWEAR Men's (Combo-(2AMZ)-9394-9426) Multicolor Sport Sneakers Running Shoes 7 UK,0.5,0.1,0.1,0.1,0.2
"Blue Star CHFDD300MGEW- Hard Top freezer, 301 Liters, Deep freezer",0.02,0.85,0,0.03,0.1
U.S. POLO ASSN. Men's Slim Fit T-Shirt,0.05,0.03,0.02,0.15,0.75
Hangout Hub Men's & Women's Regular Fit T-Shirt Happy Life Happy Wife Printed-Set of 2-Couple T-Shirts,0.1,0.025,0.05,0.025,0.8
"Accell DisplayPort to DisplayPort Version 1.4 Cable, 13ft / 4m, Poly Bag (International), Black (B088C-013B-23)",0.02,0.9,0.01,0.02,0.05
BIBA Women's Rayon Legging Bottom,0.15,0.05,0.07,0.03,0.7
"ZEBRONICS Zeb-Evolve BTv5.0, Voice Assistant, Rapid Charge, Dual Pairing, Call Function, Magnetic Earpiece Bluetooth Wirel...",0.01,0.95,0.01,0.01,0.02
FZ Forza Precision X9 UnStrung Badminton Racket,0.1,0.7,0.05,0.05,0.1
King Will Nature 8mm Mens Real Wood Inlay Titanium Ring High Polished Dome Style,0.2,0.1,0.05,0.05,0.6
Bagsy Malone Sleek Ruby Red Sling,0.8,0.05,0.05,0.05,0.05
Fuzora Trendz Men Formal Leather Shoes Black Solid Print,0.1,0.05,0.7,0.05,0.1
GLORYBOYZ Men's Full Sleeve Regular Fit Fashion Cotton Big Checks Shirt,0.3,0.1,0.2,0.2,0.2
RAMRAJ COTTON Men Green Polycotton Formal Solid Shirt Full Sleeves,0.05,0.03,0.02,0.1,0.8
"FACTOR NOTES Notebook: 90 GSM, B6, Ruled, 112 Pages Journal Diary (Sunshine Mixed with a Hurricane)",0.02,0.01,0.9,0.02,0.05
CALANDIS VMC-MD3 USB Charging Cable for Sony CyberShot DSC-WX5C WX7 WX9 WX10 WX30 T99,0.005,0.95,0.005,0.01,0.03
Tempt® Glider TWS Passive Environmental Noise Cancellation True Wireless Earbuds OxyAcoustics Pure Sound Technology |14mm ...,0.05,0.9,0.01,0.02,0.02
"KREVIA Men's Wooden Heart Shape Lapel Pin Fashion Jewelry Suit Brooches Accessories For Wedding(1Piece, Brown)",0.1,0.05,0.025,0.025,0.8
UniqueArt White Stone God Ganesha with Rosewooden Base Car Dashboard Decor Statue | Hindu Idol God Ganesh Ganpati Decor Sc...,0.05,0.02,0.01,0.02,0.9
URBARO Men's Slim Fit Casual Shirt (22USH0789),0.1,0.05,0.05,0.05,0.75
Laptop Backpack for 16-inch Laptop Notebook Business Travel Backpack with USB Charging Port Lage Strap Multi-Function Wate...,0.01,0.85,0.02,0.02,0.1
The Headscarves Beautiful Printed Soft Multicolor Short And Long Tails Headwraps,0.7,0.1,0.05,0.05,0.1
"QemiQ®-""Fan Speed Controller Knob""(Large Size)-"" 4 Unit's""-(7mm Hole) White.",0.02,0.05,0.01,0.02,0.9
"Jute Bag 3, Multicolour Pattern YBM Printed Design Tiffin/Shopping/Grocery Hand Bag with Zip & Handle for Men and Women, J...",0.05,0.02,0.03,0.8,0.1
Indian Terrain Men's Checkered Slim Fit Casual Shirt (ITMSH02243BurgundyLS_Burgundy_S),0.7,0.1,0.15,0.05,0.05
"TYPE-C Earphone for Google Pixel 7 Pro in Ear Type C Wired Earphones with Mic, Braided 1.2 Metre Cable, Metallic Design, 1...",0.03,0.9,0.01,0.01,0.05
Miss Chase Women's Off White Halter Neck Sleeveless Solid Pleated Regular Length Sequins Paneled Jumpsuit,0.05,0.02,0.02,0.01,0.9
"Kreeva Velvet Floral 6 Piece 5 Seater Sofa Cover and Chair Set (3+1+1), Onion Purple",0.03,0.01,0.01,0.05,0.9
TAGAS Baby-Girls Frock,0.1,0.1,0.05,0.05,0.7
KIARVI GALLERY Analogue Men's and Women's Couple Watch and King Queen Bracelet Combo (Black Dial Black Colored Strap) (Pac...,0.1,0.7,0.05,0.05,0.1.
"USL Men's and Women's Cotton Full Hand Arm Sleeves (Skin, Free Size) Pack Of 1 Pair (Skin) (Black)",0.8,0.1,0.05,0.02,0.03
STYLEYOO Slip-On Genuine Leather Formal Shoes for Men |STYS001|,0.1,0.05,0.05,0.1,0.7
INKMILAN Leather womens Purse(Green),0.2,0.05,0.03,0.02,0.7
HYATT Leather Accessories Full-Grain Natural Cro Leather Top-Handle satchel Handbags & Shoulder Sling Bags For Women Offic...,0.2,0.05,0.05,0.1,0.6
FROZIL Analogue Pink Blue Black SKU Blue Dial Silver Coloured Strap Women's Wath with Cosmic Bracelet Combo for Girls,0.7,0.1,0.05,0.05,0.1
Liberty Men's Sports Shoe,0.15,0.25,0.05,0.1,0.45
Walktrendy Womens Synthetic Pink Sandals With Heels - 8 UK (Wtwhs509_Pink_41),0.05,0.02,0.01,0.02,0.9
MVMT Getaway Analog Brown Dial Women's Watch-28000130-D,0.1,0.7,0.05,0.05,0.1
Reebok Nerd Digital Gray Dial Unisex's Watch-RV-VNE-U9-PZIP-WT,0.02,0.8,0.03,0.05,0.1
Willing Fashion Men's Women's & Polyester Executive Bag | Money Carrying Executive Bag | Multipurpose Travel Bag |Business...,0.1,0.2,0.05,0.6,0.05
"Goatter Womens Classic Design Tote Bag,(Brown Color) GOT-GT-07",0.02,0.05,0.1,0.03,0.8
Pepe Jeans Men's Regular Fit Shirt,0.05,0.05,0.1,0.2,0.6
Skechers Synthetic Mesh Regular Lace Up Men's Sport Shoes,0.1,0.3,0.2,0.1,0.3
TOXI Holi T-Shirt for Kids Printed Holi Hai Colorful Head Round Neck Matte Tshirts All Aizes,0.05,0.02,0.03,0.15,0.75
"Philips Avent Newborn Flow Teats - Natural New Born, 1N Pack",0.05,0.15,0.1,0.02,0.68
DPR MAKK Home APPLIANCES Dual Inverter A.C 1.5 TON 2STAR L.G,0.005,0.95,0.005,0.01,0.03
RANGOLI ART Womens And Girls Organza Silk Fabric white Colours Saree With Embroidery Sequence Work,0.05,0.03,0.02,0.2,0.7
pluss Men Coral Checked Shirt,0.05,0.5,0.1,0.15,0.2
Gen 1 Chain Cleaner and Degreaser 150ml for Bike and Cycle,0.6,0.1,0.05,0.1,0.15
People Women's Regular Fit T-Shirt,0.1,0.2,0.05,0.6,0.05
GREEN DRAGONFLY® PU Leather RFID Protected Credit Card Holder for Men & Women| Button Closure| 15 Card Holder(Blue),0.05,0.2,0.03,0.02,0.7
Lux Inferno Men's Regular Casual Pants (Thermal Bottom_Grey,0.05,0.03,0.02,0.1,0.8
"Sabates-Hidden Height Increasing Patent Leather Lace-up Casual, Loafer and Moccasine Shoes Tan",0.1,0.05,0.15,0.03,0.67
"Cucumber Baby Girls Printed Cotton Frock Pack of 3 (3-6 Months, Multicoloured-1) (3-6 Months, Multicoloured-1)",0.1,0.03,0.02,0.05,0.8
"Mr. Merchant Gulab Mukhwas, Traditional Mouth Freshener Mukhwas Mix (Pack of 1 (300gm Jar Pack))",0.03,0.01,0.01,0.9,0.05
"Encasa Homes Cloth Tote Bag - Strong Canvas Cotton Bag in Multi Colour | Pack of 2 with Extra Strong 13"" Handle | Holds 15...",0.02,0.02,0.01,0.05,0.9
Tjori Women's Dark Olive Sleeveless Cotton Khadi Kurta with Dark Olive Straight Pants - Set of 2,0.1,0.01,0.01,0.03,0.85
Amazon Brand - Myx Women Night Suit Set,0.1,0.03,0.02,0.05,0.8
Curia Mini Cartoon Style Fan used in all kinds of places including household and many more for producing fresh air purposes.,0.03,0.2,0.02,0.05,0.7
"Neska Moda Set Of 2 Pair Baby Girls Booties for 3 to 6 Months (Blue,Pink)",0.1,0.05,0.025,0.025,0.8
"Mastela� Combo Silicone Fruit Shape Teether for Baby/Toddlers/Infants/Children (Orange Apple & Peach, Pack of 3)",0.85,0.02,0.01,0.02,0.1
Avsar 14k (585) Yellow Gold Ring for Women,0.05,0.02,0.02,0.01,0.9
Park Avenue Men's Slim Fit T-Shirt,0.15,0.05,0.1,0.7,0.3
Max Men Tshirt,0.05,0.6,0.15,0.1,0.1
CURREN 3480 Fashion Casual Stainless Steel Watches Womens Dress Rhinestone Quartz Wristwatch Ladies Gifts,0.3,0.1,0.2,0.2,0.2
HoneyDew Women's Cotton Maxi Night Gown,0.1,0.05,0.05,0.8,0.1
Urmisa Women's Rayon Straight Kurti with Plazzo Set,0.05,0.02,0.03,0.05,0.85
PETER INDIA Men's Sling Bag (Brown),0.05,0.03,0.02,0.1,0.8
TECHNOVIEW 1080P FHD Camera Surveillance Pen Security Camera with HD Pocket Video Audio Recorder with Free OTG Cable - Black,0.003,0.95,0.001,0.005,0.04
"CARMATE Silicone Car Key Cover KC-32 Fit for ( Camry, Fortuner, Corolla, Innova )-Black",0.02,0.05,0.02,0.01,0.9
Protocol Men Shirt,0.1,0.3,0.2,0.1,0.3
SABATES Formal Lace Up Shoes - All Seasons,0.15,0.05,0.05,0.05,0.7
Klamotten Women's Satin Apparel (11M-32_Red_Free Size),0.2,0.03,0.02,0.05,0.7
"GIVA 925 Sterling Silver Sparkling Crown Ring, Adjustable | Rings for Women and Girls | With Certificate of Authenticity a...",0.1,0.3,0.2,0.1,0.3
GJ Baby Baby-Boy's Regular fit Trousers,0.15,0.05,0.1,0.6,0.1
ExclusiveLane 'Owl Family' Decorative Wooden Key Holder for Home Decor Key Hangers Keychain Holder Key Stand & Key Holder ...,0.01,0.01,0.01,0.02,0.95
Fashion Freak Leather Credit Card Holder -Slim Minimalist Front Pocket RFID Blocking Leather Wallets for Men Women (Brown),0.3,0.2,0.05,0.05,0.4
Titan Karishma Analog White Dial Men's Watch-NL9315YM01/NN9315YM01,0.2,0.7,0.1,0,0
IMEX Men's with Patch Genuine Leather Long Wallet (Maroon),0.1,0.05,0.05,0.05,0.75
Spykar Mens Skinny Fit 5 Pocket Coated Jeans,0.15,0.1,0.05,0.7,0.05
Tejvij And Sons 3 to 12.50 ratti Original Aquamarine Stone 3 ratti Aquamarine Stone with Certificate for Unisex,0.6,0.1,0.1,0.1,0.1
"BATA Men Arturo Slip ON Formal Shoes, Brown, (8514185)",0.05,0.03,0.8,0.02,0.1
"New Jersey Travellers Polyester Soft-Side 66cm Medium Check-in Luggage Trolley Bag... (66cm) (66, Black-Red)",0.2,0.2,0.2,0.1,0.3
Axter Men's Multi-Coloured Canvas Casual Shoes/Loafers - Pack of 2 (Combo-(2)-397-5014),0.05,0.03,0.02,0.2,0.7
"Skream Black Oversized Self Love Club Graphic Printed T-Shirt for Men, Relaxed Fit Typography Printed T-Shirt, Y2K T-Shirt",0.2,0.1,0.25,0.15,0.3
"SanDisk Extreme microSD Card for Mobile Gaming, 4K Video, 160MB/s R/90MB/s 256GB, SDSQXA1-256G-GN6GN",0.005,0.95,0.005,0.01,0.03
"LOOT-LEY DELUXE Heigh Quality Tower Fan with 25 Feet Air Delivery, 4 Way Air Flow, High Speed, Anti Rust Body (Black)",0.02,0.15,0.01,0.02,0.8
Lino Perros Women's Faux Leather Handbag,0.1,0.05,0.025,0.025,0.8
"HIKVISION 5 MP Dome Turret Camera DS-2CE71H0T-PIRLO, Compatible with J.K.Vision BNC",0.01,0.95,0.005,0.005,0.03
"TECVITY® Remote No.N2QAYB001194 for, PANASONIC LED TV",0,0.9,0,0,0.1
Campus Sutra Men's Regular Fit Casual Shirt,0.1,0.05,0.03,0.02,0.8
Kopykat Women's Fourway Lycra High Waist Sports Shorts Tights,0.9,0.02,0.01,0.03,0.04
DISHIS 14k BIS Hallmark Yellow Gold and certified Diamond Mangalsutra for Women Mangalsutra for Women,0.1,0.2,0.05,0.05,0.6
"Pepe Jeans All Over Print Cotton Breifs Innerwear, Underwear for Men - M (Pack of 1)",0.4,0.1,0.05,0.3,0.15
"Men's Slim Fit Denim Low Rise Jeans (Black, 42)-PID42906",0.2,0.3,0.2,0.1,0.2
Wireless Bluetooth Headphones Earphones for vivo Y16 / vivo Y 16 Original Sports Bluetooth Wireless Earphone with Deep Bas...,0.02,0.95,0.01,0.01,0.01
Raj Superhero Cartoon Print Cute Round Shaped Duffle Box Bag for Small Kids - Multicolor (Pack of 1),0.05,0.025,0.025,0.1,0.8
Johari Shop 18KT Yellow Gold and Diamond Ring for Women,0.3,0.05,0.03,0.02,0.6
Sidharth Gems 5.62 Carat/6.25-6.50 Ratti Ruby Gemstone Manik Stone Original Certified Natural Gemstone,0.75,0.05,0.1,0.05,0.05
"VAYA GoBag Neoprene Dust Proof Water Bottle Bag for Kids with Sling, Color: Purple",0.1,0.05,0.03,0.02,0.8
Action Pro 360 Degree Rotation Quick Release Buckle Base Adapter Mount Screw for SJCAM SJ4000 Gopro Accessories,0.01,0.9,0.03,0.01,0.05
RUF & TUF Men's Slim Jeans,0.1,0.3,0.2,0.1,0.3
"Imperative Women Slim Fit Cargo Jogger Trackpants with 4 Pockets for Workout, Gym, Sportswear and Casual Wear",0.75,0.05,0.05,0.1,0.05
Mogu Mogu Lychee and Strawberry Juice 25% with NATA De Coco | Energy Booster Drink | Full of Fruit Fibres | No Added Prese...,0.05,0.01,0.01,0.9,0.03
Arrow Light Blue Self Design Formal Shirt (ARADOSH0876_44),0.015,0.025,0.01,0.05,0.9
"Trishakti Crystal Mala Diamond Cut Clear Quartz Japa Mala Gemstone 108+1 Beads Necklace for Wealth, Prosperity, Mental Pie...",0.7,0.05,0.1,0.05,0.1
"Stainless Steel Food Dehydrator Machine, Fruit & Vegetable Dryer with 12 Stainless Steel Trays Food Preserver",0.02,0.05,0.01,0.02,0.9
"FEDUS Gold Plated HDMI Male to Female Converter Connector Adapter 270 Degree L Shape for HDTV, Plasma TV, LED, LCD Pack-2...",0.01,0.9,0.015,0.025,0.05
EasyCover camera case for Canon R7 camouflage,0.005,0.95,0.005,0.01,0.03
CMMCHAAH 0-6 Years Baby Girls Pageant Lace Embroidery Dresses Toddler Formal Dress with Headwear,0.15,0.1,0.05,0.3,0.4
Wrangler Men's Slim Jeans (WMJN005532_Light Indigo,0.05,0.1,0.15,0.7,0.1
Gilli Shopee Baby Fruit Nibbler and Feeder Pacifier Baby Fruit Nipple | Nibbler for Babies with Baby Silicone Spoon (Multi-1),0.2,0.1,0.1,0.6,0
Adidas Men's Felor Hiker,0.1,0.2,0.3,0.2,0.2
RAMRAJ COTTON Mens Cotton Solid Shirt (Pack of 1),0.05,0.02,0.03,0.05,0.85
Axter Multicolor Men's Casual Sports Running Shoes (Set of 2 Pair) (2)-9284-1217,0.2,0.6,0.1,0.05,0.05
Memoir Titanium Catholic Black Beaded Mother Virgin Mary Christian rosary Bracelet jewellery Men Women Boys Girls,0.05,0.025,0.01,0.015,0.9
"A-4 Enterprises Men Shoes for Running with Breathable Knitted Upper | Ideal for Sports, Gym, Training, Running & Much More...",0.05,0.1,0.2,0.05,0.6
Leshya Set Of 2 Beautiful Colored Bangle Set With Big Kundan Stone,0.1,0.05,0.025,0.025,0.8
Max Boys Checked Full Sleeves Shirt,0.1,0.2,0.3,0.2,0.2
OZIO Men's White Color Cotton Half Sleeve Branded Polo T Shirt with Collar - S to 2XL,0.1,0.03,0.02,0.05,0.8
"ARIEL Men 95% Cotton, 5% Spandex Briefs (Pack of 3)",0.9,0.05,0.01,0.03,0.01
Men's Cotton Blend Double Buttoned Casual Shirt,0.1,0.05,0.05,0.1,0.7
Charvi Leather Base Metal and Chain for Men's & Boy's - (Black)/mala model chain/men's fashine jewellwery chain/fashine bl...,0.1,0.5,0.2,0.1,0.1
ATLOIT Carbon Block Filter for Pre filter in Pureit Water Purifiers,0.2,0.7,0.05,0.03,0.02
"RILO Women's Satin Blend Nighty/Nightgown/Maxi (Dark Pink, Size - Large)",0.1,0.03,0.02,0.05,0.8
ESAW Compound Medical Microscope with 100 Prepared Microscopes Slides for Students (Magnification: 100X to 1500X),0.75,0.15,0.03,0.02,0.05
Skechers-GO Run Ride 10,0.15,0.05,0.25,0.1,0.45
Artvibes Happy Place Family Wooden Wall Hanger for Home Decor | Office | Living Room | Gifts | Bedroom | Quotes Decorative...,0.02,0.01,0.01,0.01,0.95
"INVENTO 5pcs 100K Ohm Potentiometer Pot Variable Resistor 6 Pins Split Shaft Rotary Linear Dual Taper Audio B Type, Volume...",0.01,0.95,0.005,0.005,0.03
"Salvus App SOLUTIONS Silver Kada for Kids(0-5 Years), Kids kada For Boy, Kids bracelets- Set of 2",0.8,0.03,0.02,0.05,0.1
DINJEWEL 5.00 Ratti Black Sulemani Hakik Stone Ashtdhatu Silver Plated Adjustable Ring Original and Certified Natural Sule...,0.8,0.05,0.05,0.03,0.07
PC Jeweller Yellow Gold and Solitaire Stud Earrings for Women,0.1,0.05,0.02,0.03,0.8
blackberrys Men's Urban Yonk Skinny Fit Stretchable Jeans-UDY Binge,0.05,0.4,0.05,0.2,0.3
ComicSense.xyz Mob Psycho 100 Anime Tank Top Vest,0.1,0.2,0.3,0.05,0.35
Dr. Martens Unisex-Adult 5 Eye Shoe Oxford,0.2,0.1,0.3,0.1,0.3
Nike' Women's Regular Short Sleeve T-Shirt,0.2,0.3,0.1,0.4,0
SMYILE ZONE Men's Briefs (10 Pieces),0.8,0.05,0.03,0.02,0.1
FIELD CARE Fashion Lace-Up Shoes for Men's Formal Dress Shoes for Men's Office wear Shoes for Men's Lace Up for Men,0.1,0.7,0.05,0.05,0.1
GORGIO PROFESSIONAL GCT15 Hair Curling Tong Iron with Mirror titanium Conical Long Barrel for Silky n Smooth Curls Hair Cu...,0.9,0.1,0,0,0
DailyObjects Burgundy Vegan Leather Stash Pouch Set of 3,0.05,0.1,0.02,0.03,0.8
W for Woman Women's Viscose Regular Kurta,0.15,0.05,0.1,0.6,0.1
GIVA 925 Sterling Silver Classy Link Bracelet For Him | Gifts for Men & Boys | With Certificate of Authenticity and 925 St...,0.05,0.025,0.015,0.01,0.9
LANCER Mens ACTIVE-100 Green Running Shoe - 9 UK (ACTIVE-100BGN-PGN-9),0.1,0.75,0.05,0.05,0.05
"Vicky Transform i-Stud Football Shoes,Neon Orange, Size-6",0.1,0.7,0.05,0.1,0.05
"ON SHOPPY (LABEL) Powerful Rechargeable Table Cum Wall AC DC Fan with 21 SMD LED Light, Assorted",0,0.1,0,0,0.9
FANGKAI 1Pack 100ft /30m 2-in-1 Video Power CCTV Cable BNC Extend Cord for Home Security Surveillance Cameras DVR System,0.002,0.95,0.001,0.008,0.04
MINI KLUB baby-girls Legging,0.2,0.1,0.1,0.3,0.3
DISHIS 22k(916) Yellow Gold Designer Mangalsutra for Women,0.05,0.25,0.1,0.02,0.58
Titan Raga Viva Analog Beige Dial Women's Watch-NL2578YM01/NP2578YM01,0.2,0.6,0.05,0.05,0.1
"MYYNTI Heart Style Reusable, Skip The Line Adhesive Thong Invisible Briefs Strapless Panties Women Invisible C-Shaped Pant...",0.85,0,0.03,0.02,0.1
‎Gladiator HINAL Analog Stainless Steel Strap with Black & Gold Dial Gold Strap Oval Shape Casual Women Watch (Pack of 2),0.2,0.05,0.03,0.02,0.7
The Metal Magic's Copper Water Bottle,0.9,0.05,0.01,0.02,0.02
Furniture Cafe Set top Box Stand | WiFi Router Holder Wooden Wall Shelves | Setup Box Stand for Home | Wall Mount Stylish ...,0.03,0.15,0.01,0.01,0.8
Avsar Real Gold 14K RING AVR366YB,0.25,0.15,0.05,0.1,0.45
"Anuj Sales Burma Ruby Gemstone Manik Stone Certified for Men and Women (Ruby, 4.25 Ratti / 3.40 Carat)",0.7,0.05,0.1,0.05,0.1
VAGHBHATT 1Pc Princess Tiara Headband Kid Girls Prom Silver Plated Crystal Rhinestone Crown | Bridal Wedding Party Hair Je...,0.9,0.05,0.01,0.01,0.03
"Enamor Non-Wired Racerback Strap Lightly Padded Womens T-Shirt Bra (Capri Blue, 32C)",0.85,0.05,0.02,0.03,0.05
ishin Women's Cotton Grey Gotta Patti Embroidered Anarkali Peplum Kurta Sharara Dupatta Set…,0.1,0.03,0.05,0.02,0.8
LOROFY Women's Net Embroidred Dupatta,0.05,0.05,0.02,0.03,0.85
PC Jeweller The Zigana 22k (916) Yellow Gold Ring for Women,0.1,0.05,0.025,0.025,0.8
"Capresist Drill Bit Set of 13 for Wood, Malleable Iron, Aluminium, Plastic and Masonry with Set of 5 Pieces for Concrete a...",0.03,0.2,0.02,0.05,0.7
Nivia AT-108RD Mesh Running Spikes,0.1,0.8,0.05,0.02,0.03
JH Gallery Handmade Multi-Colour Keychain/Key Holder/Key Bunch/Gifting - Pack of 1 Pair (J339),0.1,0.03,0.02,0.05,0.8
(Renewed) ZEBRONICS Sound Feast 50 14 Watt Wireless Bluetooth Portable Speaker (Black),0.005,0.95,0.005,0.01,0.03
"Xiaomi 13 Pro (Ceramic Black, 12GB RAM 256GB Storage) | Leica Professional 50MP Triple Camera | Biggest Camera Sensor 1"" I...",0.02,0.95,0.01,0.01,0.01
Shopnet Wireless Bluetooth Speaker TG113 For Vivo iQOO Neo5 SE Ultra Boost Bass with DJ Sound Portable Home Speaker with A...,0.005,0.95,0.005,0.01,0.03
"Shopnet Wireless Bluetooth Speaker TG113 For Xiaomi Redmi, Xiaomi Mi 2A, Xiaomi Mi 2S, Xiaomi Mi 2, Xiaomi Mi 1S, Xiaomi M...",0,0.9,0,0,0.1
SanDisk Extreme Pro SD UHS I 128GB Card for 4K Video for DSLR and Mirrorless Cameras 200MB/s Read & 90MB/s Write,0.01,0.95,0.01,0.02,0.01
"ANNA ALUMINIUM Chakson Choodarapetty Aluminum Pot Thermal Rice Cooker (1 Kg,6.4 Liters)",0.01,0.015,0.005,0.03,0.95
Adidas Men Synthetic Galaxy 6 Running Shoes White UK-7,0.2,0.3,0.1,0.2,0.2
HAKKEL Men's Casual Ankle Sneaker Boot,0.03,0.2,0.02,0.05,0.7
LIKE MEN'S WORLD Generic Dark Wash Cotton Stretch Regular Fit Mens Jeans Colour : Ash Size : 36,0.1,0.05,0.05,0.2,0.6
Saucony Mens Kinvara 14 Running Shoe,0.9,0.05,0.02,0.01,0.02
NEUDIS Men Band Collar Full Sleeves Formal Shirt,0.15,0.02,0.08,0.05,0.7
Auto Oprema Microfiber Leather Auto Car Steering Wheel Cover Universal 15 inch (Dark Black),0.05,0.025,0,0.015,0.9
Caprese Women's Tote Bag (Beige),0.05,0.03,0.02,0.1,0.8
Wireless Bluetooth Headphones Earphone For vivo Y51 Neckband Earphone Bluetooth 5.0 Wireless Headphones with Hi-Fi Stereo ...,0.02,0.95,0.005,0.005,0.02
"Casual Lace Up Sneaker, Men's Black Casual Shoes",0.1,0.05,0.02,0.15,0.68
Geeky Portable Cute Bear Styled Rechargeable 2 Watts Handheld Fan (Pink),0.01,0.95,0.002,0.008,0.04
Fargo Handbag For Women And Girls Combo Set Of 3 (Pink_ColorBlock_FGO-364),0.1,0.03,0.02,0.05,0.8
"CableCreation 8K HDMI Cable 10 Feet, 48Gbps HDMI 8K@60Hz Cable eARC HDR HDCP 2.2 2.3 Compatible with PS5, PS4, Xbox Series...",0.005,0.95,0.005,0.01,0.03
M2V Women's Watch with Quartz Movement.,0.05,0.9,0.02,0.02,0.01
Hopscotch Boys and Girls Recycled Polyester/Memory Foam Solid LED Sneakers in Yellow Color,0.1,0.7,0.05,0.05,0.1
"Fast Type-C USB Cable for Samsung Galaxy Tab S6 Lite , Samsung Galaxy Tab S 6 Lite USB Cable Original Like | Charger Cable...",0.005,0.95,0.005,0.01,0.03
"Amazon Basics USB 2.0 Cable - A-Male to B-Male - for Personal Computer, Printer- 6 Feet (1.8 Meters), Black",0.005,0.95,0.005,0.01,0.03
AmazonBasics HL-007331 High-Speed Micro-HDMI (NOT Micro-USB) to HDMI Cable - 3 Feet (2-Pack) (Latest Standard) (Black),0.001,0.95,0.004,0.005,0.04
Xxtra Armor Clima Fresh (Anti-Microbial) 100ml,0.95,0.01,0.01,0.02,0.01
Sarai Jaipur Men's Cotton Regular Fit Printed Full Sleeves Formal/Casual Shirt for Men,0.1,0.05,0.1,0.15,0.6
TRYLO Pinkystrapless,0.8,0.05,0.05,0.05,0.05
US Polo Men's Printed Regular Fit Casual Shirt,0.15,0.05,0.05,0.05,0.7
Klepe Men's Running Shoes,0.1,0.7,0.05,0.05,0.1
"USB Type-C Wired in Ear Earphones with Mic for Samsung Galaxy M23, Samsung M 23 Wired Type C Earphone with Mic USB Type C ...",0.01,0.95,0.005,0.005,0.03
Lightweight Slee g Bag Liner Slee g Sack Outdoor Cam g Hotel Travel Sheet-KUAW,0.1,0.05,0.02,0.03,0.8
Shopnet Wireless Bluetooth Speaker TG113 For Samsung Galaxy Ace NXT Ultra Boost Bass with DJ Sound Portable Home Speaker w...,0.005,0.95,0.01,0.005,0.03
Giordano Brief Pack of 2,0.2,0.4,0.1,0.2,0.1
Peter England Men's Regular Fit Polo Shirt,0.1,0.2,0.1,0.2,0.4
Ishin Women's Georgette Burgundy & Orange Printed Saree With Blouse Piece,0.1,0.03,0.05,0.02,0.8
"MK Leatherite Gym Bag Combo for Men ll Gym Bag, Bottle Gloves ll Gym kit for Men and Women ll Gym Bag Gym & Fitness Kit",0.3,0.05,0.05,0.2,0.4
Wheafree Gluten Free Namkeen Combo Pack - Bikaneri Bhujia 400g + Namkeen Mixture 400g + Masala Chana Dal 400g | Ready to E...,0.02,0.01,0.02,0.9,0.05
TODANI JEMS 7.25 Ratti Natural Certified Ruby Manik Gemstone Panchdhatu Ring for Men & Women,0.8,0.1,0.05,0.02,0.03
Jockey Women Cotton Bikini (Pack of 2),0.8,0.05,0.03,0.02,0.1
BASICS Slim Fit Coral Orange Chambray Printed Shirt,0.1,0.05,0.05,0.1,0.7
Soundmagic E10C Wired in Ear Headphone with Mic (Blue),0.03,0.95,0.01,0.005,0.005
